# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.001         	(0.000000e+00 5.000000e-03 0.000000e+00)	(0.000000e+00 5.000000e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 5.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.002         	(0.000000e+00 9.999951e-03 0.000000e+00)	(0.000000e+00 9.999951e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999901e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.003         	(0.000000e+00 1.499970e-02 0.000000e+00)	(0.000000e+00 1.499970e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999605e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.004         	(0.000000e+00 1.999906e-02 0.000000e+00)	(0.000000e+00 1.999906e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999112e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.005         	(0.000000e+00 2.499783e-02 0.000000e+00)	(0.000000e+00 2.499783e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.998421e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.006         	(0.000000e+00 2.999581e-02 0.000000e+00)	(0.000000e+00 2.999581e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.997533e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.007         	(0.000000e+00 3.499280e-02 0.000000e+00)	(0.000000e+00 3.499280e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.996447e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.008         	(0.000000e+00 3.998860e-02 0.000000e+00)	(0.000000e+00 3.998860e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.995164e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.009         	(0.000000e+00 4.498303e-02 0.000000e+00)	(0.000000e+00 4.498303e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.993684e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.01          	(0.000000e+00 4.997587e-02 0.000000e+00)	(0.000000e+00 4.997587e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.992007e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.011         	(0.000000e+00 5.496694e-02 0.000000e+00)	(0.000000e+00 5.496694e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.990133e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.012         	(0.000000e+00 5.995604e-02 0.000000e+00)	(0.000000e+00 5.995604e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.988061e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.013         	(0.000000e+00 6.494296e-02 0.000000e+00)	(0.000000e+00 6.494296e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.985793e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.014         	(0.000000e+00 6.992752e-02 0.000000e+00)	(0.000000e+00 6.992752e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.983327e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.015         	(0.000000e+00 7.490952e-02 0.000000e+00)	(0.000000e+00 7.490952e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.980665e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.016         	(0.000000e+00 7.988876e-02 0.000000e+00)	(0.000000e+00 7.988876e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.977806e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.017         	(0.000000e+00 8.486503e-02 0.000000e+00)	(0.000000e+00 8.486503e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.974750e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.018         	(0.000000e+00 8.983816e-02 0.000000e+00)	(0.000000e+00 8.983816e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.971498e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.019         	(0.000000e+00 9.480793e-02 0.000000e+00)	(0.000000e+00 9.480793e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.968050e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.02          	(0.000000e+00 9.977416e-02 0.000000e+00)	(0.000000e+00 9.977416e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.964405e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
