# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.001         	(0.000000e+00 5.000000e-03 0.000000e+00)	(0.000000e+00 5.000000e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999901e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.002         	(0.000000e+00 9.999803e-03 0.000000e+00)	(0.000000e+00 9.999803e-03 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999605e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.003         	(0.000000e+00 1.499921e-02 0.000000e+00)	(0.000000e+00 1.499921e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.999112e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.004         	(0.000000e+00 1.999803e-02 0.000000e+00)	(0.000000e+00 1.999803e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.998421e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.005         	(0.000000e+00 2.499605e-02 0.000000e+00)	(0.000000e+00 2.499605e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.997533e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.006         	(0.000000e+00 2.999309e-02 0.000000e+00)	(0.000000e+00 2.999309e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.996447e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.007         	(0.000000e+00 3.498895e-02 0.000000e+00)	(0.000000e+00 3.498895e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.995165e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.008         	(0.000000e+00 3.998342e-02 0.000000e+00)	(0.000000e+00 3.998342e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.993685e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.009         	(0.000000e+00 4.497632e-02 0.000000e+00)	(0.000000e+00 4.497632e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.992008e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.01          	(0.000000e+00 4.996744e-02 0.000000e+00)	(0.000000e+00 4.996744e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.990134e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.011         	(0.000000e+00 5.495658e-02 0.000000e+00)	(0.000000e+00 5.495658e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.988062e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.012         	(0.000000e+00 5.994356e-02 0.000000e+00)	(0.000000e+00 5.994356e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.985794e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.013         	(0.000000e+00 6.492817e-02 0.000000e+00)	(0.000000e+00 6.492817e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.983330e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.014         	(0.000000e+00 6.991022e-02 0.000000e+00)	(0.000000e+00 6.991022e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.980668e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.015         	(0.000000e+00 7.488951e-02 0.000000e+00)	(0.000000e+00 7.488951e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.977810e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.016         	(0.000000e+00 7.986584e-02 0.000000e+00)	(0.000000e+00 7.986584e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.974755e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.017         	(0.000000e+00 8.483902e-02 0.000000e+00)	(0.000000e+00 8.483902e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.971504e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.018         	(0.000000e+00 8.980885e-02 0.000000e+00)	(0.000000e+00 8.980885e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.968056e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.019         	(0.000000e+00 9.477513e-02 0.000000e+00)	(0.000000e+00 9.477513e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.964413e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.02          	(0.000000e+00 9.973767e-02 0.000000e+00)	(0.000000e+00 9.973767e-02 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.960573e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
